number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,booking status,reservation_month,reservation_dayofweek,total_nights,price_per_night,is_family,total_guests,weekend_share,previous_bookings,previous_cancel_ratio,has_special_requests,Booking_ID
2,0,1,3,Meal Plan 1,0,Room_Type 4,35,Offline,0,0,0,75.0,0,0,10,3,4,15.0,0,2,0.2,0,0.0,0,INN07565
2,0,0,3,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,114.0,0,1,11,4,3,28.5,0,2,0.0,0,0.0,0,INN07566
2,0,2,4,Meal Plan 2,0,Room_Type 4,86,Offline,0,0,0,139.6,0,0,7,0,6,19.942857142857143,0,2,0.2857142857142857,0,0.0,0,INN07567
2,0,2,1,Meal Plan 1,0,Room_Type 6,109,Offline,0,0,0,85.0,1,0,3,1,3,21.25,0,2,0.5,0,0.0,1,INN07568
2,0,0,4,Not Selected,0,Room_Type 1,9,Online,0,0,0,95.2,1,0,12,4,4,19.04,0,2,0.0,0,0.0,1,INN07569
2,1,0,3,Meal Plan 1,0,Room_Type 1,171,Online,0,0,0,121.5,0,1,8,4,3,30.375,1,3,0.0,0,0.0,0,INN07570
2,0,0,2,Not Selected,0,Room_Type 1,221,Online,0,0,0,85.5,0,1,8,4,2,28.5,0,2,0.0,0,0.0,0,INN07571
2,0,1,1,Meal Plan 1,0,Room_Type 1,144,Online,0,0,0,81.08,0,0,7,2,2,27.026666666666667,0,2,0.3333333333333333,0,0.0,0,INN07572
2,0,2,9,Meal Plan 1,0,Room_Type 4,156,Online,0,0,0,104.32,1,1,10,4,11,8.693333333333333,0,2,0.16666666666666666,0,0.0,1,INN07573
2,2,1,5,Meal Plan 2,0,Room_Type 6,296,Online,0,0,0,196.07,1,1,12,2,6,28.009999999999998,1,4,0.14285714285714285,0,0.0,1,INN07574
1,0,4,11,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,76.14,0,0,1,1,15,4.75875,0,1,0.25,0,0.0,0,INN07575
2,0,0,1,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,140.0,3,0,8,4,1,70.0,0,2,0.0,0,0.0,1,INN07576
1,0,1,3,Meal Plan 1,0,Room_Type 1,75,Online,0,0,0,70.0,0,1,3,5,4,14.0,0,1,0.2,0,0.0,0,INN07577
2,0,1,4,Meal Plan 1,0,Room_Type 5,54,Online,0,0,0,95.36,0,0,3,2,5,15.893333333333333,0,2,0.16666666666666666,0,0.0,0,INN07578
2,1,1,2,Meal Plan 1,0,Room_Type 1,18,Online,0,0,0,120.0,2,0,2,3,3,30.0,1,3,0.25,0,0.0,1,INN07579
1,0,0,1,Meal Plan 1,1,Room_Type 1,4,Corporate,1,0,2,67.0,0,0,3,3,1,33.5,0,1,0.0,2,0.0,0,INN07581
2,0,2,1,Not Selected,0,Room_Type 1,29,Online,0,0,0,111.67,2,0,9,1,3,27.9175,0,2,0.5,0,0.0,1,INN07583
2,0,1,5,Meal Plan 1,0,Room_Type 4,113,Online,0,0,0,92.94,2,0,7,3,6,13.277142857142858,0,2,0.14285714285714285,0,0.0,1,INN07584
2,0,2,0,Not Selected,0,Room_Type 1,18,Online,0,0,0,114.0,0,1,6,1,2,38.0,0,2,0.6666666666666666,0,0.0,0,INN07585
2,0,0,2,Not Selected,0,Room_Type 1,11,Online,0,0,0,119.0,1,1,5,3,2,39.666666666666664,0,2,0.0,0,0.0,1,INN07586
1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Corporate,1,0,3,65.0,1,0,1,6,1,32.5,0,1,0.0,3,0.0,1,INN07587
2,0,0,3,Meal Plan 1,0,Room_Type 1,17,Online,0,0,0,105.0,0,0,9,4,3,26.25,0,2,0.0,0,0.0,0,INN07588
2,0,2,5,Meal Plan 1,0,Room_Type 1,210,Offline,0,0,0,72.25,0,0,8,2,7,9.03125,0,2,0.25,0,0.0,0,INN07589
2,0,1,1,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,195.0,1,0,9,2,2,65.0,0,2,0.3333333333333333,0,0.0,1,INN07590
3,0,2,3,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,68.8,0,0,8,2,5,11.466666666666667,0,3,0.3333333333333333,0,0.0,0,INN07591
2,0,0,3,Meal Plan 1,0,Room_Type 4,85,Online,0,0,0,140.4,0,0,5,3,3,35.1,0,2,0.0,0,0.0,0,INN07592
1,0,0,1,Meal Plan 1,0,Room_Type 1,55,Corporate,0,0,0,79.0,0,1,7,5,1,39.5,0,1,0.0,0,0.0,0,INN07593
2,0,1,2,Not Selected,0,Room_Type 1,20,Online,0,0,0,97.0,1,0,3,6,3,24.25,0,2,0.25,0,0.0,1,INN07594
2,0,2,1,Not Selected,0,Room_Type 2,208,Online,0,0,0,116.1,0,1,9,1,3,29.025,0,2,0.5,0,0.0,0,INN07595
1,0,0,2,Meal Plan 1,0,Room_Type 1,9,Corporate,0,0,0,56.0,0,0,3,4,2,18.666666666666668,0,1,0.0,0,0.0,0,INN07597
2,0,1,1,Meal Plan 1,0,Room_Type 1,9,Online,0,0,0,107.0,1,0,6,2,2,35.666666666666664,0,2,0.3333333333333333,0,0.0,1,INN07598
2,0,2,5,Not Selected,0,Room_Type 1,185,Online,0,0,0,89.25,0,1,8,0,7,11.15625,0,2,0.25,0,0.0,0,INN07599
2,0,2,5,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,106.14,0,0,8,0,7,13.2675,0,2,0.25,0,0.0,0,INN07600
2,0,2,1,Meal Plan 1,0,Room_Type 4,19,Offline,0,0,0,107.0,0,0,9,1,3,26.75,0,2,0.5,0,0.0,0,INN07601
3,0,1,2,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,129.87,0,1,6,2,3,32.4675,0,3,0.25,0,0.0,0,INN07602
2,0,2,5,Not Selected,0,Room_Type 1,199,Online,0,0,0,80.75,0,1,8,4,7,10.09375,0,2,0.25,0,0.0,0,INN07603
2,0,0,3,Meal Plan 1,0,Room_Type 4,232,Online,0,0,0,91.8,2,0,12,5,3,22.95,0,2,0.0,0,0.0,1,INN07604
1,0,1,0,Not Selected,0,Room_Type 1,12,Online,0,0,0,129.0,0,1,6,2,1,64.5,0,1,0.5,0,0.0,0,INN07606
2,0,2,2,Meal Plan 2,0,Room_Type 1,47,Online,0,0,0,142.65,1,0,6,1,4,28.53,0,2,0.4,0,0.0,1,INN07607
2,0,0,4,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,155.8,1,0,9,5,4,31.160000000000004,0,2,0.0,0,0.0,1,INN07608
2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,97.02,1,0,9,5,1,48.51,0,2,0.0,0,0.0,1,INN07611
2,0,1,2,Not Selected,0,Room_Type 1,48,Online,0,0,0,67.5,0,1,2,0,3,16.875,0,2,0.25,0,0.0,0,INN07612
3,0,0,5,Meal Plan 1,0,Room_Type 4,144,Online,0,0,0,123.3,0,1,10,3,5,20.55,0,3,0.0,0,0.0,0,INN07613
1,0,1,5,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,63.33,0,0,12,3,6,9.047142857142857,0,1,0.14285714285714285,0,0.0,0,INN07614
2,0,2,1,Not Selected,0,Room_Type 1,26,Online,0,0,0,133.0,0,0,10,1,3,33.25,0,2,0.5,0,0.0,0,INN07616
1,0,0,1,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,121.5,0,1,5,0,1,60.75,0,1,0.0,0,0.0,0,INN07619
2,0,0,3,Meal Plan 1,0,Room_Type 1,287,Online,0,0,0,106.2,2,1,9,5,3,26.55,0,2,0.0,0,0.0,1,INN07620
1,0,0,1,Meal Plan 1,0,Room_Type 4,1,Complementary,1,0,14,0.0,2,0,1,0,1,0.0,0,1,0.0,14,0.0,1,INN07621
2,0,1,1,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,140.0,1,0,5,2,2,46.666666666666664,0,2,0.3333333333333333,0,0.0,1,INN07622
2,0,0,1,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,140.4,0,1,6,0,1,70.2,0,2,0.0,0,0.0,0,INN07623
2,0,0,4,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,100.0,1,1,2,5,4,20.0,0,2,0.0,0,0.0,1,INN07625
2,0,0,1,Not Selected,0,Room_Type 1,32,Online,0,0,0,79.2,0,0,11,0,1,39.6,0,2,0.0,0,0.0,0,INN07626
1,0,2,2,Meal Plan 1,0,Room_Type 1,156,Offline,0,0,0,68.0,1,0,7,0,4,13.6,0,1,0.4,0,0.0,1,INN07627
2,0,1,3,Meal Plan 1,0,Room_Type 1,153,Online,0,0,0,85.0,0,1,6,5,4,17.0,0,2,0.2,0,0.0,0,INN07628
2,0,2,2,Not Selected,0,Room_Type 1,18,Online,0,0,0,74.8,0,0,12,0,4,14.959999999999999,0,2,0.4,0,0.0,0,INN07629
2,0,2,4,Meal Plan 1,0,Room_Type 1,20,Online,0,0,0,107.0,1,0,10,2,6,15.285714285714286,0,2,0.2857142857142857,0,0.0,1,INN07630
3,0,1,0,Meal Plan 1,0,Room_Type 4,63,Online,0,0,0,137.7,0,0,7,1,1,68.85,0,3,0.5,0,0.0,0,INN07632
1,0,0,2,Meal Plan 1,0,Room_Type 1,1,Corporate,1,0,12,66.0,1,0,2,4,2,22.0,0,1,0.0,12,0.0,1,INN07633
2,0,0,3,Meal Plan 1,0,Room_Type 4,58,Online,0,0,0,152.7,1,0,9,4,3,38.175,0,2,0.0,0,0.0,1,INN07634
2,0,0,2,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,75.0,0,0,11,4,2,25.0,0,2,0.0,0,0.0,0,INN07635
1,0,2,0,Meal Plan 1,1,Room_Type 1,6,Corporate,0,0,0,67.0,1,0,8,1,2,22.333333333333332,0,1,0.6666666666666666,0,0.0,1,INN07636
2,0,2,1,Meal Plan 1,0,Room_Type 1,18,Offline,0,0,0,85.0,0,0,7,1,3,21.25,0,2,0.5,0,0.0,0,INN07637
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,95.0,0,0,3,4,1,47.5,0,1,0.0,0,0.0,0,INN07639
3,0,2,2,Meal Plan 1,0,Room_Type 4,33,Online,0,0,0,154.8,1,0,3,6,4,30.96,0,3,0.4,0,0.0,1,INN07640
2,0,1,2,Meal Plan 1,0,Room_Type 1,28,Online,0,0,0,109.7,3,0,9,2,3,27.425,0,2,0.25,0,0.0,1,INN07641
2,0,2,2,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,117.37,1,0,11,1,4,23.474,0,2,0.4,0,0.0,1,INN07642
2,0,2,0,Not Selected,0,Room_Type 1,2,Online,0,0,0,104.0,1,0,4,1,2,34.666666666666664,0,2,0.6666666666666666,0,0.0,1,INN07643
1,0,1,5,Meal Plan 1,0,Room_Type 4,78,Online,0,0,0,130.2,0,1,7,3,6,18.599999999999998,0,1,0.14285714285714285,0,0.0,0,INN07644
2,0,0,1,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,119.2,0,0,9,3,1,59.6,0,2,0.0,0,0.0,0,INN07646
1,0,0,1,Meal Plan 1,0,Room_Type 1,12,Online,0,0,0,126.1,0,0,10,3,1,63.05,0,1,0.0,0,0.0,0,INN07647
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Complementary,0,0,0,0.0,0,0,12,6,1,0.0,0,1,0.0,0,0.0,0,INN07648
2,0,1,4,Meal Plan 2,0,Room_Type 1,54,Offline,0,0,0,92.0,1,0,3,2,5,15.333333333333334,0,2,0.16666666666666666,0,0.0,1,INN07650
2,2,0,2,Meal Plan 1,0,Room_Type 6,22,Online,0,0,0,221.0,1,1,5,6,2,73.66666666666667,1,4,0.0,0,0.0,1,INN07651
2,0,0,3,Meal Plan 1,0,Room_Type 4,76,Online,0,0,0,140.4,1,0,5,5,3,35.1,0,2,0.0,0,0.0,1,INN07652
2,2,0,1,Meal Plan 1,0,Room_Type 6,32,Online,0,0,0,216.9,1,1,8,0,1,108.45,1,4,0.0,0,0.0,1,INN07653
2,0,0,4,Not Selected,0,Room_Type 1,135,Online,0,0,0,89.25,0,1,7,3,4,17.85,0,2,0.0,0,0.0,0,INN07654
2,0,1,1,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,77.77,1,0,6,2,2,25.923333333333332,0,2,0.3333333333333333,0,0.0,1,INN07655
2,2,0,1,Not Selected,0,Room_Type 6,3,Online,0,0,0,153.0,0,0,8,6,1,76.5,1,4,0.0,0,0.0,0,INN07656
2,0,1,4,Meal Plan 1,1,Room_Type 1,1,Online,0,0,0,82.4,1,0,2,3,5,13.733333333333334,0,2,0.16666666666666666,0,0.0,1,INN07657
2,0,0,2,Meal Plan 1,0,Room_Type 4,33,Online,0,0,0,140.4,0,1,3,5,2,46.800000000000004,0,2,0.0,0,0.0,0,INN07658
3,0,1,4,Meal Plan 1,0,Room_Type 4,48,Online,0,0,0,168.3,3,0,8,2,5,28.05,0,3,0.16666666666666666,0,0.0,1,INN07659
2,0,2,3,Meal Plan 1,0,Room_Type 4,17,Online,0,0,0,96.26,1,0,4,5,5,16.043333333333333,0,2,0.3333333333333333,0,0.0,1,INN07660
1,0,0,1,Meal Plan 1,1,Room_Type 1,1,Corporate,0,0,0,88.0,1,0,7,5,1,44.0,0,1,0.0,0,0.0,1,INN07662
1,0,1,3,Meal Plan 1,0,Room_Type 4,38,Online,0,0,0,108.11,0,1,5,2,4,21.622,0,1,0.2,0,0.0,0,INN07663
2,0,1,4,Meal Plan 2,0,Room_Type 4,42,Online,0,0,0,129.95,0,1,3,2,5,21.65833333333333,0,2,0.16666666666666666,0,0.0,0,INN07664
1,0,2,0,Not Selected,0,Room_Type 1,8,Online,0,0,0,110.0,1,0,10,1,2,36.666666666666664,0,1,0.6666666666666666,0,0.0,1,INN07665
2,0,1,2,Not Selected,0,Room_Type 1,36,Online,0,0,0,71.1,1,0,3,2,3,17.775,0,2,0.25,0,0.0,1,INN07666
2,0,2,1,Meal Plan 1,0,Room_Type 4,89,Online,0,0,0,159.3,1,1,4,0,3,39.825,0,2,0.5,0,0.0,1,INN07667
1,0,0,3,Not Selected,0,Room_Type 1,43,Online,0,0,0,85.07,1,0,11,3,3,21.2675,0,1,0.0,0,0.0,1,INN07668
2,1,0,1,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,159.0,0,1,3,5,1,79.5,1,3,0.0,0,0.0,0,INN07669
3,0,1,1,Meal Plan 1,0,Room_Type 4,59,Online,0,0,0,159.3,2,0,6,0,2,53.1,0,3,0.3333333333333333,0,0.0,1,INN07670
2,0,0,2,Meal Plan 2,0,Room_Type 4,78,Online,0,0,0,138.6,1,0,10,4,2,46.199999999999996,0,2,0.0,0,0.0,1,INN07672
2,0,1,2,Meal Plan 1,0,Room_Type 1,20,Online,0,0,0,105.0,1,0,9,3,3,26.25,0,2,0.25,0,0.0,1,INN07673
2,0,0,2,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,135.0,1,0,12,6,2,45.0,0,2,0.0,0,0.0,1,INN07674
2,0,1,2,Meal Plan 1,0,Room_Type 1,305,Offline,0,0,0,89.0,0,1,11,6,3,22.25,0,2,0.25,0,0.0,0,INN07676
1,0,2,1,Meal Plan 1,0,Room_Type 1,1,Offline,0,0,0,60.0,0,1,2,2,3,15.0,0,1,0.5,0,0.0,0,INN07677
2,0,1,2,Meal Plan 1,0,Room_Type 4,65,Online,0,0,0,118.8,1,1,4,6,3,29.7,0,2,0.25,0,0.0,1,INN07678
2,0,0,2,Meal Plan 2,0,Room_Type 1,257,Offline,0,0,0,101.5,0,1,7,5,2,33.833333333333336,0,2,0.0,0,0.0,0,INN07680
3,1,1,1,Meal Plan 1,0,Room_Type 7,51,Online,0,0,0,181.19,0,0,8,2,2,60.39666666666667,1,4,0.3333333333333333,0,0.0,0,INN07681
2,1,1,4,Meal Plan 1,0,Room_Type 1,50,Online,0,0,0,69.57,2,0,2,3,5,11.594999999999999,1,3,0.16666666666666666,0,0.0,1,INN07682
2,0,2,2,Meal Plan 1,1,Room_Type 4,99,Online,0,0,0,91.45,0,0,3,0,4,18.29,0,2,0.4,0,0.0,0,INN07683
2,0,2,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,93.0,0,0,2,1,3,23.25,0,2,0.5,0,0.0,0,INN07684
1,0,1,2,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,80.0,0,0,10,2,3,20.0,0,1,0.25,0,0.0,0,INN07685
2,0,0,2,Not Selected,0,Room_Type 1,0,Online,0,0,0,91.59,0,0,8,3,2,30.53,0,2,0.0,0,0.0,0,INN07686
1,0,2,3,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,125.12,0,1,11,1,5,20.853333333333335,0,1,0.3333333333333333,0,0.0,0,INN07687
1,2,0,2,Meal Plan 1,0,Room_Type 6,17,Online,0,0,0,198.9,1,1,5,6,2,66.3,1,3,0.0,0,0.0,1,INN07688
3,0,1,4,Meal Plan 1,0,Room_Type 7,26,Online,0,0,0,169.52,2,1,9,4,5,28.253333333333334,0,3,0.16666666666666666,0,0.0,1,INN07689
2,0,2,2,Meal Plan 1,0,Room_Type 2,113,Online,0,0,0,85.85,0,0,4,1,4,17.169999999999998,0,2,0.4,0,0.0,0,INN07690
2,0,0,3,Meal Plan 1,0,Room_Type 1,304,Offline,0,0,0,89.0,0,1,11,5,3,22.25,0,2,0.0,0,0.0,0,INN07691
2,2,2,2,Meal Plan 1,0,Room_Type 6,15,Online,0,0,0,166.6,2,0,5,1,4,33.32,1,4,0.4,0,0.0,1,INN07692
2,0,0,4,Not Selected,0,Room_Type 1,205,Online,0,0,0,63.75,0,1,12,4,4,12.75,0,2,0.0,0,0.0,0,INN07693
2,0,2,2,Meal Plan 1,0,Room_Type 1,21,Online,0,0,0,151.0,1,0,8,6,4,30.2,0,2,0.4,0,0.0,1,INN07696
2,1,2,0,Meal Plan 1,0,Room_Type 4,52,Online,0,0,0,152.1,1,0,7,1,2,50.699999999999996,1,3,0.6666666666666666,0,0.0,1,INN07697
2,0,0,3,Meal Plan 1,0,Room_Type 1,60,Online,0,0,0,135.9,0,1,9,3,3,33.975,0,2,0.0,0,0.0,0,INN07698
2,0,0,2,Not Selected,0,Room_Type 1,2,Online,0,0,0,129.0,1,0,6,5,2,43.0,0,2,0.0,0,0.0,1,INN07699
2,0,1,2,Meal Plan 1,0,Room_Type 1,118,Offline,0,0,0,120.0,0,0,6,2,3,30.0,0,2,0.25,0,0.0,0,INN07700
0,2,2,4,Meal Plan 1,0,Room_Type 2,236,Online,0,0,0,6.0,1,0,7,5,6,0.8571428571428571,1,2,0.2857142857142857,0,0.0,1,INN07701
2,0,0,2,Meal Plan 1,0,Room_Type 1,122,Online,0,0,0,105.3,0,1,5,5,2,35.1,0,2,0.0,0,0.0,0,INN07702
2,0,2,3,Not Selected,0,Room_Type 1,218,Online,0,0,0,63.75,2,1,12,6,5,10.625,0,2,0.3333333333333333,0,0.0,1,INN07703
2,0,0,1,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,126.0,0,0,4,4,1,63.0,0,2,0.0,0,0.0,0,INN07705
1,0,0,2,Meal Plan 2,0,Room_Type 1,239,Offline,0,0,0,90.6,0,1,6,4,2,30.2,0,1,0.0,0,0.0,0,INN07706
2,0,2,3,Meal Plan 1,0,Room_Type 4,71,Online,0,0,0,105.4,0,1,4,1,5,17.566666666666666,0,2,0.3333333333333333,0,0.0,0,INN07707
1,0,1,0,Meal Plan 1,0,Room_Type 1,263,Online,0,0,0,0.0,0,0,9,3,1,0.0,0,1,0.5,0,0.0,0,INN07708
2,0,2,1,Meal Plan 1,0,Room_Type 2,18,Online,0,0,0,78.54,1,0,10,1,3,19.635,0,2,0.5,0,0.0,1,INN07709
2,0,0,3,Meal Plan 1,0,Room_Type 4,62,Offline,0,0,0,60.0,0,0,11,6,3,15.0,0,2,0.0,0,0.0,0,INN07710
1,0,0,1,Meal Plan 1,0,Room_Type 1,3,Online,0,0,0,86.0,0,0,1,4,1,43.0,0,1,0.0,0,0.0,0,INN07711
2,0,2,1,Not Selected,0,Room_Type 1,19,Online,0,0,0,129.0,0,1,9,0,3,32.25,0,2,0.5,0,0.0,0,INN07712
2,0,1,1,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,135.9,1,0,8,2,2,45.300000000000004,0,2,0.3333333333333333,0,0.0,1,INN07713
2,0,1,1,Meal Plan 1,0,Room_Type 1,174,Offline,0,0,0,70.0,0,1,10,1,2,23.333333333333332,0,2,0.3333333333333333,0,0.0,0,INN07714
2,0,2,3,Meal Plan 2,0,Room_Type 4,8,Offline,0,0,0,120.95,0,0,5,1,5,20.158333333333335,0,2,0.3333333333333333,0,0.0,0,INN07715
1,0,1,1,Meal Plan 1,0,Room_Type 1,26,Online,0,0,0,95.0,2,0,9,1,2,31.666666666666668,0,1,0.3333333333333333,0,0.0,1,INN07716
1,0,1,4,Meal Plan 1,0,Room_Type 4,5,Aviation,0,0,0,110.0,0,0,10,4,5,18.333333333333332,0,1,0.16666666666666666,0,0.0,0,INN07717
2,0,1,3,Meal Plan 1,0,Room_Type 4,32,Offline,0,0,0,63.75,0,0,10,3,4,12.75,0,2,0.2,0,0.0,0,INN07719
2,1,1,0,Not Selected,0,Room_Type 1,52,Online,0,0,0,79.2,0,0,9,2,1,39.6,1,3,0.5,0,0.0,0,INN07720
2,0,2,1,Meal Plan 1,0,Room_Type 1,107,Offline,0,0,0,80.75,1,1,5,1,3,20.1875,0,2,0.5,0,0.0,1,INN07722
2,0,0,2,Meal Plan 1,0,Room_Type 2,1,Online,0,0,0,0.0,3,0,8,5,2,0.0,0,2,0.0,0,0.0,1,INN07724
2,1,0,1,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,90.0,2,0,8,0,1,45.0,1,3,0.0,0,0.0,1,INN07725
1,0,0,2,Meal Plan 2,0,Room_Type 1,254,Offline,0,0,0,91.0,0,0,9,6,2,30.333333333333332,0,1,0.0,0,0.0,0,INN07726
3,0,2,5,Meal Plan 1,0,Room_Type 1,1,Offline,0,0,0,86.43,0,0,12,3,7,10.80375,0,3,0.25,0,0.0,0,INN07728
2,0,0,3,Meal Plan 1,0,Room_Type 1,314,Offline,0,0,0,75.0,0,1,10,4,3,18.75,0,2,0.0,0,0.0,0,INN07729
3,0,0,1,Meal Plan 1,0,Room_Type 1,67,Online,0,0,0,159.3,0,1,5,0,1,79.65,0,3,0.0,0,0.0,0,INN07730
2,0,0,2,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,93.6,0,0,11,6,2,31.2,0,2,0.0,0,0.0,0,INN07731
2,0,0,3,Meal Plan 1,1,Room_Type 1,115,Online,0,0,0,135.9,2,0,6,3,3,33.975,0,2,0.0,0,0.0,1,INN07732
2,0,0,1,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,78.3,1,0,2,1,1,39.15,0,2,0.0,0,0.0,1,INN07733
2,0,0,2,Meal Plan 1,0,Room_Type 1,14,Offline,0,0,0,100.0,0,0,10,6,2,33.333333333333336,0,2,0.0,0,0.0,0,INN07734
2,0,0,3,Meal Plan 1,0,Room_Type 1,28,Online,0,0,0,113.1,0,0,4,3,3,28.275,0,2,0.0,0,0.0,0,INN07735
3,0,2,3,Meal Plan 1,0,Room_Type 4,53,Offline,0,0,0,167.22,1,0,9,1,5,27.87,0,3,0.3333333333333333,0,0.0,1,INN07736
2,0,0,1,Meal Plan 1,1,Room_Type 2,6,Online,0,0,0,86.5,0,0,12,0,1,43.25,0,2,0.0,0,0.0,0,INN07737
3,0,2,2,Not Selected,0,Room_Type 1,135,Online,0,0,0,92.28,2,0,7,6,4,18.456,0,3,0.4,0,0.0,1,INN07738
1,0,0,1,Meal Plan 1,0,Room_Type 4,2,Online,0,0,0,153.62,1,0,9,5,1,76.81,0,1,0.0,0,0.0,1,INN07739
2,0,0,2,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,87.0,0,0,2,0,2,29.0,0,2,0.0,0,0.0,0,INN07740
2,0,2,5,Not Selected,0,Room_Type 1,104,Online,0,0,0,108.0,0,1,10,5,7,13.5,0,2,0.25,0,0.0,0,INN07741
2,0,1,2,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,111.31,2,0,9,2,3,27.8275,0,2,0.25,0,0.0,1,INN07742
2,0,1,3,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,90.95,1,0,4,2,4,18.19,0,2,0.2,0,0.0,1,INN07743
3,0,2,1,Meal Plan 1,0,Room_Type 4,224,Online,0,0,0,128.7,2,1,10,1,3,32.175,0,3,0.5,0,0.0,1,INN07744
2,0,0,4,Meal Plan 1,0,Room_Type 4,234,Online,0,0,0,103.7,1,1,10,3,4,20.740000000000002,0,2,0.0,0,0.0,1,INN07745
1,0,0,3,Meal Plan 1,0,Room_Type 1,8,Offline,0,0,0,56.0,0,0,3,3,3,14.0,0,1,0.0,0,0.0,0,INN07746
2,0,0,2,Meal Plan 1,0,Room_Type 2,125,Offline,0,0,0,72.25,0,1,7,4,2,24.083333333333332,0,2,0.0,0,0.0,0,INN07747
1,0,2,2,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,118.8,0,1,4,6,4,23.759999999999998,0,1,0.4,0,0.0,0,INN07748
2,0,2,5,Meal Plan 1,0,Room_Type 1,220,Online,0,0,0,73.95,2,0,11,3,7,9.24375,0,2,0.25,0,0.0,1,INN07749
1,0,0,3,Meal Plan 1,0,Room_Type 1,7,Offline,0,0,0,112.0,0,0,5,5,3,28.0,0,1,0.0,0,0.0,0,INN07750
2,0,0,2,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,93.0,0,0,2,6,2,31.0,0,2,0.0,0,0.0,0,INN07751
1,0,1,2,Meal Plan 1,0,Room_Type 1,9,Online,0,0,0,82.0,2,0,1,0,3,20.5,0,1,0.25,0,0.0,1,INN07752
2,0,1,2,Meal Plan 1,0,Room_Type 1,304,Online,0,0,0,74.15,1,0,10,6,3,18.5375,0,2,0.25,0,0.0,1,INN07753
2,0,1,1,Meal Plan 1,1,Room_Type 4,36,Online,0,0,0,148.5,2,0,10,2,2,49.5,0,2,0.3333333333333333,0,0.0,1,INN07754
1,0,0,2,Meal Plan 1,0,Room_Type 1,22,Online,0,0,0,97.6,0,0,8,4,2,32.53333333333333,0,1,0.0,0,0.0,0,INN07755
2,2,1,0,Meal Plan 1,0,Room_Type 6,3,Online,0,0,0,201.0,1,0,8,2,1,100.5,1,4,0.5,0,0.0,1,INN07756
2,0,0,2,Meal Plan 1,0,Room_Type 1,65,Online,0,0,0,90.9,0,1,4,6,2,30.3,0,2,0.0,0,0.0,0,INN07757
3,0,0,4,Meal Plan 1,0,Room_Type 4,71,Online,0,0,0,128.0,0,0,12,4,4,25.6,0,3,0.0,0,0.0,0,INN07760
2,0,1,1,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,139.0,3,0,9,2,2,46.333333333333336,0,2,0.3333333333333333,0,0.0,1,INN07761
2,0,0,1,Meal Plan 1,0,Room_Type 1,175,Online,0,0,0,76.5,0,1,8,5,1,38.25,0,2,0.0,0,0.0,0,INN07762
2,0,2,2,Meal Plan 1,0,Room_Type 1,93,Online,0,0,0,82.45,1,0,4,6,4,16.490000000000002,0,2,0.4,0,0.0,1,INN07763
2,0,2,1,Meal Plan 2,0,Room_Type 1,124,Offline,0,0,0,94.5,0,1,8,1,3,23.625,0,2,0.5,0,0.0,0,INN07764
2,0,1,2,Meal Plan 1,0,Room_Type 1,112,Online,0,0,0,105.3,0,1,7,2,3,26.325,0,2,0.25,0,0.0,0,INN07765
2,0,1,2,Meal Plan 1,0,Room_Type 1,12,Online,0,0,0,87.0,1,0,1,0,3,21.75,0,2,0.25,0,0.0,1,INN07766
